Benef Km Nodes
93856.0 5324.0 117
94308.0 5132.0 125
93208.0 5372.0 127
92304.0 6696.0 117
93396.0 6064.0 117
92976.0 6244.0 135
84176.0 6804.0 109
91100.0 6780.0 128
90516.0 6604.0 125
93840.0 5400.0 114
93180.0 6080.0 118
89832.0 6568.0 122
88252.0 6668.0 127
88528.0 6672.0 132
89440.0 5780.0 129
93512.0 5448.0 120
93184.0 6016.0 119
92304.0 6636.0 120
88460.0 6820.0 131
90444.0 7056.0 121
