Benef Tiempo Nodes
75128.0 15.0 26
65148.0 32.0 28
78388.0 15.0 32
71640.0 32.0 37
71708.0 15.0 21
69344.0 16.0 25
75476.0 15.0 31
70144.0 32.0 31
63564.0 15.0 21
69288.0 16.0 21
75376.0 31.0 33
60920.0 0.0 17
72708.0 16.0 23
68492.0 27.0 21
68896.0 16.0 21
70092.0 16.0 26
73460.0 15.0 28
75084.0 32.0 31
64348.0 15.0 30
70992.0 31.0 30
