Benef Tiempo Nodes
91712.0 437.0 100
94008.0 388.0 101
93372.0 203.0 101
93632.0 199.0 101
93888.0 450.0 101
93712.0 222.0 101
94140.0 238.0 101
93476.0 172.0 101
92708.0 131.0 101
94328.0 234.0 101
94080.0 157.0 101
91384.0 156.0 99
93284.0 172.0 101
90208.0 172.0 97
94224.0 169.0 101
91132.0 125.0 99
93572.0 174.0 101
91036.0 156.0 99
89892.0 149.0 99
93404.0 145.0 101
