Benef Tiempo Nodes
92720.0 823.0 105
94044.0 922.0 104
93412.0 684.0 102
93700.0 750.0 103
93884.0 824.0 102
93656.0 606.0 104
94176.0 687.0 104
93416.0 744.0 103
92492.0 623.0 110
94376.0 775.0 103
94064.0 744.0 109
91456.0 669.0 102
93276.0 828.0 107
90204.0 806.0 101
94416.0 915.0 104
91392.0 575.0 106
93732.0 884.0 111
92136.0 778.0 107
90028.0 681.0 107
93444.0 700.0 103
