Benef Tiempo Nodes
59500.0 1181.0 79
47556.0 984.0 71
56620.0 792.0 66
45048.0 666.0 59
61660.0 1141.0 92
54604.0 669.0 70
54300.0 734.0 71
49672.0 710.0 71
53328.0 673.0 71
58716.0 794.0 69
52624.0 790.0 77
54504.0 687.0 68
60216.0 888.0 72
57904.0 634.0 62
58232.0 766.0 65
53708.0 607.0 66
56000.0 938.0 79
54468.0 755.0 66
44648.0 477.0 52
51048.0 610.0 60
